Season,Team,Minutes_Played,Field_Goals,Field_Goal_Attempts,Field_Goal_Percentage,Three_Point_Field_Goals,Three_Point_Field_Goal_Attempts,Three_Point_Field_Goal_Percentage,Two_Point_Field_Goals,Two_Point_Field_Goal_Attempts,Two_Point_Field_Goal_Percentage,Free_Throws,Free_Throw_Attempts,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Wins,Losses,NBA_Championships,Latitude,Longitude
2014-15,Atlanta Hawks,240.6,38.1,81.7,.466,10.0,26.2,.380,28.1,55.5,.506,16.5,21.2,.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5,60,22,0,33.757222,-84.396389
2014-15,Boston Celtics,242.4,38.9,87.9,.443,8.0,24.6,.327,30.9,63.3,.488,15.4,20.5,.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,40,42,0,42.366303,-71.062228
2014-15,Brooklyn Nets,243.0,37.4,83.0,.451,6.6,19.9,.331,30.8,63.1,.489,16.6,22.2,.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0,38,44,0,40.682661,-73.975225
2014-15,Charlotte Hornets,242.7,35.5,84.5,.420,6.1,19.1,.318,29.5,65.4,.450,17.0,22.8,.748,10.0,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2,33,49,0,35.225,-80.839167
2014-15,Chicago Bulls,242.4,36.6,82.9,.442,7.9,22.3,.353,28.7,60.6,.474,19.7,25.2,.783,11.7,34.0,45.7,21.7,6.3,5.8,14.0,18.2,100.8,50,32,0,41.880556,-87.674167
2014-15,Cleveland Caveliers,241.2,37.7,82.2,.458,10.1,27.5,.367,27.6,54.7,.504,17.7,23.6,.751,11.1,31.9,43.0,22.1,7.4,4.1,14.3,18.4,103.1,53,29,0,41.496389,-81.688056
2014-15,Dallas Mavericks,242.4,39.7,85.8,.463,8.9,25.4,.352,30.8,60.4,.509,16.9,22.5,.752,10.5,31.8,42.3,22.5,8.1,4.5,13.0,20.0,105.2,50,32,0,32.790556,-96.810278
2014-15,Denver Nuggets,242.4,37.8,87.3,.433,8.0,24.8,.325,29.7,62.5,.476,17.8,24.3,.734,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23.0,101.5,30,52,0,39.748611,-105.0075
2014-15,Detroit Pistons,241.8,37.1,85.8,.432,8.6,24.9,.344,28.5,60.9,.468,15.8,22.4,.703,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19.0,98.5,32,50,0,42.696944,-83.245556
2014-15,Golden State Warriors,240.6,41.6,87.0,.478,10.8,27.0,.398,30.8,60.0,.514,16.0,20.8,.768,10.4,34.3,44.7,27.4,9.3,6.0,14.5,19.9,110.0,67,15,1,37.750278,-122.203056
2014-15,Houston Rockets,241.5,37.0,83.3,.444,11.4,32.7,.348,25.6,50.6,.506,18.6,26.0,.715,11.7,32.0,43.7,22.2,9.5,5.0,16.7,22.0,103.9,56,26,0,29.750833,-95.362222
2014-15,Indiana Pacers,242.1,36.6,83.2,.439,7.5,21.2,.352,29.1,62.0,.469,16.7,22.2,.756,10.4,34.4,44.9,21.4,6.2,4.6,14.0,21.2,97.3,38,44,0,39.763889,-86.155556
2014-15,Los Angeles Clippers,240.6,39.4,83.3,.473,10.1,26.9,.376,29.3,56.4,.519,17.9,25.2,.710,9.6,33.1,42.6,24.8,7.8,5.0,12.3,21.3,106.7,56,26,0,34.043056,-118.267222
2014-15,Los Angeles Lakers,243.0,37.2,85.6,.435,6.5,18.9,.344,30.8,66.8,.461,17.5,23.6,.741,11.6,32.3,43.9,20.9,7.0,4.5,13.2,21.2,98.5,21,61,0,34.043543,-118.265725
2014-15,Memphis Grizzlies,242.7,37.8,82.5,.458,5.2,15.2,.339,32.6,67.3,.485,17.6,22.8,.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3,55,27,0,35.138333,-90.050556
2014-15,Miami Heat,240.6,35.2,77.2,.456,6.8,20.2,.335,28.4,57.0,.499,17.5,23.7,.741,9.1,30.0,39.1,19.8,7.8,4.5,14.8,20.0,94.7,37,45,0,25.781389,-80.188056
2014-15,Milwaukee Bucks,243.0,37.6,82.0,.459,6.6,18.3,.363,31.0,63.7,.486,16.0,21.1,.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8,41,41,0,43.043611,-87.916944
2014-15,Minnesota Timberwolves,241.5,36.4,83.2,.438,5.0,14.9,.332,31.5,68.3,.461,20.0,25.7,.776,11.6,29.3,40.9,21.6,8.1,4.0,15.0,19.2,97.8,16,66,0,44.979444,-93.276111
2014-15,New Oreland Pelicans,241.2,37.9,82.9,.457,7.1,19.3,.370,30.8,63.6,.484,16.4,21.8,.751,11.5,32.0,43.5,22.0,6.7,6.2,13.3,18.7,99.4,45,37,0,29.948889,-90.081944
2014-15,New York Knicks,242.1,35.1,82.0,.428,6.8,19.7,.347,28.3,62.3,.454,14.8,19.2,.769,10.6,29.8,40.4,21.3,7.0,4.7,14.7,21.6,91.9,17,65,0,40.750556,-73.993611
2014-15,Oklahoma City Thunder,241.8,38.8,86.8,.447,7.7,22.7,.339,31.1,64.1,.486,18.6,24.6,.754,12.8,34.7,47.5,20.5,7.3,5.5,14.7,22.3,104.0,45,37,0,35.463333,-97.515
2014-15,Orlando Magic,240.9,37.5,82.8,.453,6.8,19.5,.347,30.8,63.3,.486,13.9,19.1,.729,10.0,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7,25,57,0,28.539167,-81.383611
2014-15,Philadelphia 76ers,241.5,33.7,82.6,.408,8.4,26.3,.320,25.3,56.3,.449,16.1,23.8,.676,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92.0,18,64,0,39.901111,-75.171944
2014-15,Pheonix Suns,242.4,38.8,85.8,.452,8.5,25.0,.341,30.2,60.9,.497,16.4,21.5,.760,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4,39,43,0,33.445833,-112.071389
2014-15,Portland Trailblazers,242.1,38.7,86.0,.450,9.8,27.2,.362,28.9,58.8,.491,15.5,19.4,.801,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8,51,31,0,45.531667,-122.666667
2014-15,Sacremento Kings,242.1,36.7,80.7,.455,5.6,16.5,.341,31.1,64.2,.484,22.3,29.3,.762,10.9,33.3,44.2,20.3,6.7,4.0,16.3,20.7,101.3,29,53,0,38.649167,-121.518056
2014-15,San Antonio Spurs,243.4,39.1,83.6,.468,8.3,22.5,.367,30.9,61.1,.505,16.7,21.4,.780,9.8,33.8,43.6,24.4,8.0,5.4,14.0,19.1,103.2,55,27,0,29.426944,-98.4375
2014-15,Toronto Raptors,242.1,37.9,83.3,.455,8.9,25.1,.352,29.0,58.2,.499,19.3,24.6,.787,10.7,30.8,41.5,20.7,7.5,4.4,12.9,20.9,104.0,49,33,0,43.643333,-79.379167
2014-15,Utah Jazz,240.3,35.4,79.2,.447,7.4,21.7,.343,27.9,57.5,.486,17.0,23.5,.721,12.0,31.9,44.0,19.9,7.6,6.0,15.3,19.3,95.1,38,44,0,40.768333,-111.901111
2014-15,Washington Wizards,243.4,38.3,82.8,.462,6.1,16.8,.360,32.2,66.0,.488,15.9,21.4,.742,10.5,34.2,44.7,24.0,7.3,4.6,15.0,20.8,98.5,46,36,0,38.898056,-77.020833
2015-16,Atlanta Hawks,241.8,38.6,84.4,.458,9.9,28.4,.350,28.7,56.1,.512,15.6,20.0,.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8,48,34,0,33.757222,-84.396389
2015-16,Boston Celtics,241.2,39.2,89.2,.439,8.7,26.1,.335,30.5,63.1,.483,18.5,23.5,.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,48,34,0,42.366303,-71.062228
2015-16,Brooklyn Nets,240.9,38.2,84.4,.453,6.5,18.4,.352,31.8,66.0,.481,15.7,20.7,.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6,21,61,0,40.682661,-73.975225
2015-16,Charlotte Hornets,242.1,37.0,84.4,.439,10.6,29.4,.362,26.4,55.0,.479,18.7,23.7,.790,9.0,35.0,43.9,21.7,7.3,5.3,12.5,18.1,103.4,48,34,0,35.225,-80.839167
2015-16,Chicago Bulls,242.7,38.6,87.4,.441,7.9,21.4,.371,30.7,66.1,.464,16.5,21.0,.787,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,101.6,42,40,0,41.880556,-87.674167
2015-16,Cleveland Caveliers,242.1,38.7,84.0,.460,10.7,29.6,.362,27.9,54.4,.514,16.3,21.7,.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3,57,25,1,41.496389,-81.688056
2015-16,Dallas Mavericks,244.0,37.4,84.1,.444,9.8,28.6,.344,27.5,55.6,.495,17.7,22.3,.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3,42,40,0,32.790556,-96.810278
2015-16,Denver Nuggets,241.8,37.7,85.4,.442,8.0,23.7,.338,29.7,61.7,.482,18.5,24.1,.766,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21.0,101.9,33,49,0,39.748611,-105.0075
2015-16,Detroit Pistons,242.4,37.9,86.4,.439,9.0,26.2,.345,28.9,60.2,.480,17.1,25.5,.668,12.5,33.9,46.3,19.4,7.0,3.7,13.5,19.0,102.0,44,38,0,42.696944,-83.245556
2015-16,Golden State Warriors,242.4,42.5,87.3,.487,13.1,31.6,.416,29.4,55.7,.528,16.7,21.8,.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,73,9,0,37.750278,-122.203056
2015-16,Houston Rockets,241.8,37.7,83.5,.452,10.7,30.9,.347,27.0,52.6,.514,20.4,29.4,.694,11.3,31.7,43.1,22.2,10.0,5.2,15.9,21.8,106.5,41,41,0,29.750833,-95.362222
